Size: 916,666;
A: 21.5,0; 164.5,166;
B: 189.75,0; 305.5,166;
C: 323.5,0; 423,166;
D: 457,0; 591.75,166;
E: 609.25,0; 715.25,166;
F: 743.25,0; 853.5,166;
G: 10,166.5; 137.75,332.25;
H: 153,166.5; 295.5,332.25;
I: 317.5,166.5; 385.75,332.25;
J: 390.75,166.5; 495,332.25;
K: 515.25,166.5; 631.75,332.25;
L: 647.5,166.5; 777,332.25;
M: 777.5,166.5; 896.75,332.25;
N: 777.5,166.5; 896.75,332.25;
Ñ: 777.5,166.5; 896.75,332.25;
O: 15.75,332.75; 119.75,498.5;
P: 128.5,332.75; 237.25,498.5;
Q: 242.5,332.75; 344.25,498.5;
R: 357.75,332.75; 484.75,498.5;
S: 511.75,332.75; 592,498.5;
T: 601.25,332.75; 694,498.5;
U: 694.5,332.75; 792.75,498.5;
V: 803.5,332.75; 910.5,498.5;
W: 0,499; 219,664.5;
X: 219.5,499; 351,664.5;
Y: 357.75,499; 505.25,664.5;
Z: 513.25,499; 661,664.5;
 : 700,499; 780,664.5;
a: 21.5,0; 164.5,166;
b: 189.75,0; 305.5,166;
c: 323.5,0; 423,166;
d: 457,0; 591.75,166;
e: 609.25,0; 715.25,166;
f: 743.25,0; 853.5,166;
g: 10,166.5; 137.75,332.25;
h: 153,166.5; 295.5,332.25;
i: 317.5,166.5; 385.75,332.25;
j: 390.75,166.5; 495,332.25;
k: 515.25,166.5; 631.75,332.25;
l: 647.5,166.5; 777,332.25;
m: 777.5,166.5; 896.75,332.25;
n: 777.5,166.5; 896.75,332.25;
ñ: 777.5,166.5; 896.75,332.25;
o: 15.75,332.75; 119.75,498.5;
p: 128.5,332.75; 237.25,498.5;
q: 242.5,332.75; 344.25,498.5;
r: 357.75,332.75; 484.75,498.5;
s: 511.75,332.75; 592,498.5;
t: 601.25,332.75; 694,498.5;
u: 694.5,332.75; 792.75,498.5;
v: 803.5,332.75; 910.5,498.5;
w: 0,499; 219,664.5;
x: 219.5,499; 351,664.5;
y: 357.75,499; 505.25,664.5;
z: 513.25,499; 661,664.5;
